Date,Open,High,Low,Close,Volume,Adjusted
2021/2/9,263,267.200012207031,262.540008544922,266.489990234375,12432800,257.36181640625
2021/2/10,268.700012207031,270.399993896484,264.600006103516,267.790008544922,13090800,258.617309570312
2021/2/11,268.75,274.260009765625,267.200012207031,268.929992675781,15295800,259.718231201172
2021/2/12,269.089996337891,270.25,265.679992675781,267.850006103516,9355100,258.675231933594
2021/2/16,271,274.290008544922,270.399993896484,270.700012207031,16708700,261.427612304688
2021/2/17,270.890014648438,272.316009521484,267.809997558594,270.829986572266,13262400,261.553161621094
2021/2/18,265.230010986328,266.179992675781,262.329986572266,264.510009765625,15382300,255.449661254883
2021/2/19,266.049987792969,269.390014648438,262.850006103516,263.589996337891,14718400,254.561157226562
2021/2/22,257.989990234375,259.459991455078,254,254,14403500,245.299652099609
2021/2/23,247.309997558594,254.899993896484,241.619995117188,252.75,15980300,244.09245300293
2021/2/24,252,252,248.100006103516,250.339996337891,12831700,241.764999389648
2021/2/25,250,250.339996337891,240.070007324219,240.179992675781,17967300,231.953018188477
2021/2/26,244.630004882812,244.899993896484,237.649993896484,237.759994506836,17470700,229.615905761719
2021/3/1,241.050003051758,242.789993286133,239.259994506836,241.690002441406,14043300,233.411315917969
2021/3/2,238.789993286133,241.199996948242,234.270004272461,234.419998168945,14644200,226.390319824219
2021/3/3,237.5,239.608993530273,234.45100402832,236.270004272461,13571700,228.176956176758
2021/3/4,235,236.369995117188,228.360000610352,230.5,22964800,222.604598999023
2021/3/5,235.419998168945,236.429992675781,228.339996337891,233.889999389648,15988400,225.878479003906
2021/3/8,229.020004272461,230.809997558594,226.529998779297,226.690002441406,17138400,218.925109863281
2021/3/9,233.380004882812,238.740005493164,233.074996948242,238.139999389648,15291300,229.98291015625
2021/3/10,241,241.324996948242,233.639999389648,234.300003051758,10491200,226.274444580078
2021/3/11,237.199996948242,241.720001220703,235,240.800003051758,15162500,232.551788330078
2021/3/12,233.695007324219,235.449996948242,229.705993652344,231.869995117188,17778400,223.927658081055
2021/3/15,228.410003662109,230.449996948242,226.259994506836,230.279998779297,14499700,222.392120361328
